Institution,State,District,Type,DataDepth,Department,ResearchAreas,SourceVerified
National Institute of Technology Raipur,Chhattisgarh,Raipur,technical_institute,deep,Computer Science & Engineering,AI and Data Science; Network Security and Modern Cryptography; Cloud Computing,Verified live from nitrr.ac.in official department page
National Institute of Technology Raipur,Chhattisgarh,Raipur,technical_institute,deep,Information Technology,Information Science & Technology; systems-oriented computing,Verified live — partial snippet from official aboutit page
National Institute of Technology Raipur,Chhattisgarh,Raipur,technical_institute,deep,Mathematics,Active MSc/PhD research environment (general — specific focus areas need follow-up),Verified live — partial snippet from official aboutmath page
National Institute of Technology Raipur,Chhattisgarh,Raipur,technical_institute,deep,Civil Engineering,"NEEDS RESEARCH — department confirmed to exist, specific research areas not yet pulled",Department name only — confirmed via official site department listing
National Institute of Technology Raipur,Chhattisgarh,Raipur,technical_institute,deep,Applied Geology / Architecture & Planning / Bio Medical Engineering / Bio Technology / Chemical Engineering / Electrical Engineering / Electronics and Communication / Mechanical Engineering / Metallurgical & Materials Engineering / Mining Engineering / Humanities & Social Sciences,"NEEDS RESEARCH — all confirmed to exist as real departments, specific faculty research areas not yet pulled",Department names only — confirmed via official site department listing
Indian Institute of Technology Bhilai,Chhattisgarh,Durg,technical_institute,deep,Computer Science and Engineering,Two disciplines within the department: Computer Science and Engineering (CSE); Data Science and Artificial Intelligence (DSAI),Verified live from iitbhilai.ac.in official department page
Indian Institute of Technology Bhilai,Chhattisgarh,Durg,technical_institute,deep,Liberal Arts,Three core disciplines: Economics; Literature; Psychology,Verified live from official department page
Indian Institute of Technology Bhilai,Chhattisgarh,Durg,technical_institute,deep,Mechanical Engineering,One of the first departments established at IIT Bhilai (2016) — specific research areas need follow-up,Verified live — partial info
Indian Institute of Technology Bhilai,Chhattisgarh,Durg,technical_institute,deep,Bioscience and Biomedical Engineering / Chemistry / Electrical Engineering / Electronics and Communication Engineering / Materials Science and Metallurgical Engineering,"NEEDS RESEARCH — all confirmed to exist as real departments, specific faculty research areas not yet pulled",Department names only — confirmed via official site department listing
Indira Gandhi Krishi Vishwavidyalaya (IGKV),Chhattisgarh,Raipur,university,deep,Agri-Business Management / Agricultural Economics / Agricultural Statistics / Agriculture Engineering / Horticulture,"NEEDS RESEARCH — all confirmed to exist as real departments, specific faculty research areas not yet pulled",Department names only — confirmed via official site department listing
Indira Gandhi Krishi Vishwavidyalaya (IGKV),Chhattisgarh,Raipur,university,deep,(network of affiliated colleges),"23 constituent government colleges + 15 affiliated private colleges statewide — real expansion opportunity, not yet individually researched",Verified count from official IGKV site and Careers360 cross-reference
Bhilai Institute of Technology - Durg,Chhattisgarh,Durg,technical_institute,shallow,,,Verified — CSVTU official affiliated institutes list (Code 001)
Government Engineering College - Bilaspur,Chhattisgarh,Bilaspur,technical_institute,shallow,,,Verified — CSVTU official affiliated institutes list (Code 007)
Christian College of Engineering & Technology - Bhilai,Chhattisgarh,Durg,technical_institute,shallow,,,Verified — CSVTU official affiliated institutes list (Code 011)
Raipur Institute Of Technology - Raipur,Chhattisgarh,Raipur,technical_institute,shallow,,,Verified — CSVTU official affiliated institutes list (Code 012)
Shri Rawatpura Sarkar Institute of Pharmacy - Kumhari,Chhattisgarh,Durg,college,shallow,,,Verified — CSVTU official affiliated institutes list (Code 015)
New Government Engineering College - Raipur,Chhattisgarh,Raipur,technical_institute,shallow,,,Verified — CSVTU official affiliated institutes list (Code 016)
"Columbia Institute of Pharmacy, Raipur",Chhattisgarh,Raipur,college,shallow,,,Verified — CSVTU official affiliated institutes list (Code 021)
"Columbia Institute of Engineering & Technology,Raipur",Chhattisgarh,Raipur,technical_institute,shallow,,,Verified — CSVTU official affiliated institutes list (Code 026)
"RSR Rungta College of Engineering & Technology,Bhilai",Chhattisgarh,Durg,technical_institute,shallow,,,Verified — CSVTU official affiliated institutes list (Code 029)
"Lakhmi Chand Institute of Technology,Bilaspur",Chhattisgarh,Bilaspur,technical_institute,shallow,,,Verified — CSVTU official affiliated institutes list (Code 031)
"Shri Shankaracharya Institute of Professional Management & Technology, Raipur",Chhattisgarh,Raipur,college,shallow,,,Verified — CSVTU official affiliated institutes list (Code 033)
"Royal College of Pharmacy, Raipur",Chhattisgarh,Raipur,college,shallow,,,Verified — CSVTU official affiliated institutes list (Code 046)
Government Polytechnic - Korba,Chhattisgarh,Korba,technical_institute,shallow,,,Verified — CSVTU official affiliated institutes list (Code 057)
Government Polytechnic - Khairagarh,Chhattisgarh,Rajnandgaon,technical_institute,shallow,,,Verified — CSVTU official affiliated institutes list (Code 059)
Thakur Balram Singh Government Polytechnic - Takhatpur,Chhattisgarh,Bilaspur,technical_institute,shallow,,,Verified — CSVTU official affiliated institutes list (Code 060)
Columbia College of Pharmacy - Raipur,Chhattisgarh,Raipur,college,shallow,,,Verified — CSVTU official affiliated institutes list (Code 061)
Moulana Abul Kalam Azad College of Pharmacy - Raipur,Chhattisgarh,Raipur,college,shallow,,,Verified — CSVTU official affiliated institutes list (Code 062)
J. K. Institute of Pharmacy - Bilaspur,Chhattisgarh,Bilaspur,college,shallow,,,Verified — CSVTU official affiliated institutes list (Code 063)
Siddhi Vinayaka Institute of Technology - Bilaspur,Chhattisgarh,Bilaspur,technical_institute,shallow,,,Verified — CSVTU official affiliated institutes list (Code 065)
Ayush College of Polytechnic - Meduka,Chhattisgarh,Bilaspur,technical_institute,shallow,,,Verified — CSVTU official affiliated institutes list (Code 066)
Ramkrishna Rathore Government Polytechnic - Janjgir-Champa,Chhattisgarh,Janjgir – Champa,technical_institute,shallow,,,Verified — CSVTU official affiliated institutes list (Code 068)
"I B T College of Diploma Engineering, Durg",Chhattisgarh,Durg,college,shallow,,,Verified — CSVTU official affiliated institutes list (Code 069)
"Government Polytechnic, Mahasamund",Chhattisgarh,Mahasamund,technical_institute,shallow,,,Verified — CSVTU official affiliated institutes list (Code 070)
"Government Women Polytechnic, Bilaspur",Chhattisgarh,Bilaspur,technical_institute,shallow,,,Verified — CSVTU official affiliated institutes list (Code 071)
