Institution,State,District,Type,DataDepth,Department,ResearchAreas,SourceVerified
National Institute of Technology Raipur,Chhattisgarh,Raipur,technical_institute,deep,Computer Science & Engineering,AI and Data Science; Network Security and Modern Cryptography; Cloud Computing,Verified live from nitrr.ac.in official department page
National Institute of Technology Raipur,Chhattisgarh,Raipur,technical_institute,deep,Civil Engineering,Structural Engineering; Geotechnical Engineering; Environmental Engineering; Transportation Engineering; Water Resources Development and Irrigation Engineering (dedicated M.Tech program),Verified live from nitrr.ac.in/aboutcivil.php — established 1958
National Institute of Technology Raipur,Chhattisgarh,Raipur,technical_institute,deep,Electrical Engineering,Power System and Control (dedicated M.Tech); DST-FIST Level-I funded; externally sponsored research >Rs.300 lakh in last 5 years,Verified live from nitrr.ac.in/aboutelectrical.php — established 1958
National Institute of Technology Raipur,Chhattisgarh,Raipur,technical_institute,deep,Architecture & Planning,M.Tech in Planning with specialisation in Urban Planning; B.Arch undergraduate program,Verified live from nitrr.ac.in/aboutarchitecture.php — established 1984
National Institute of Technology Raipur,Chhattisgarh,Raipur,technical_institute,deep,Applied Geology,Sustainable development and conservation of mineral and natural resources; geological project management and mapping,"Verified live from nitrr.ac.in/aboutgeology.php — established 1961, M.Tech in Applied Geology"
National Institute of Technology Raipur,Chhattisgarh,Raipur,technical_institute,deep,Information Technology,Information Science & Technology; systems-oriented computing,Verified live — partial snippet from official aboutit page
National Institute of Technology Raipur,Chhattisgarh,Raipur,technical_institute,deep,Mathematics,Active MSc/PhD research environment (general — specific focus areas need follow-up),Verified live — partial snippet from official aboutmath page
National Institute of Technology Raipur,Chhattisgarh,Raipur,technical_institute,deep,Bio Medical Engineering / Bio Technology / Chemical Engineering / Electronics and Communication / Mechanical Engineering / Metallurgical & Materials Engineering / Mining Engineering / Humanities & Social Sciences,"NEEDS RESEARCH — confirmed real departments, specific research areas not yet pulled",Department names only — confirmed via official site department listing
Indian Institute of Technology Bhilai,Chhattisgarh,Durg,technical_institute,deep,Computer Science and Engineering,CSE plus a separate standalone Discipline of Data Science and Artificial Intelligence at institute level,Verified live from iitbhilai.ac.in official department listing
Indian Institute of Technology Bhilai,Chhattisgarh,Durg,technical_institute,deep,Electrical Engineering,"M.Tech specializations: Electrical Vehicular Technology; Control & Instrumentation; Power & Power Electronics. Named research: battery management systems, point-of-care medical devices, smart grids, precision agriculture",Verified live from iitbhilai.ac.in dept_ee — established 2016
